time,x,y,z,MF
0.006,-0.69,19.98,-34.23,39.64
0.017,-1.39,19.28,-35.59,40.49
0.036,-0.69,20.67,-36.27,41.75
0.057,-1.39,20.67,-33.55,39.43
0.077,-1.39,19.98,-34.91,40.24
0.097,-1.39,19.28,-36.94,41.69
0.117,-1.39,20.67,-35.59,41.18
0.137,-0.69,19.98,-34.23,39.64
0.157,-0.69,18.58,-34.23,38.95
0.178,-1.39,19.98,-34.91,40.24
0.198,-1.39,19.98,-33.55,39.07
0.217,-0.69,20.67,-34.91,40.57
0.238,-2.09,20.67,-34.23,40.04
0.258,-1.39,19.98,-35.59,40.83
0.281,-1.39,19.28,-35.59,40.49
0.298,0.00,20.67,-34.91,40.57
0.318,-1.39,18.58,-34.91,39.57
0.338,-0.69,18.58,-34.91,39.55
0.360,-2.09,19.98,-35.59,40.86
0.380,-1.39,19.28,-36.27,41.09
0.400,-0.69,18.58,-32.87,37.76
0.427,-1.39,21.37,-34.23,40.38
0.440,-0.69,19.98,-34.91,40.22
0.460,0.00,19.98,-34.23,39.63
0.481,-1.39,19.28,-34.23,39.31
0.500,-2.09,19.28,-35.59,40.52
0.521,0.00,19.28,-34.91,39.87
0.540,-1.39,18.58,-34.91,39.57
0.570,-1.39,19.98,-34.23,39.65
0.581,0.70,19.98,-33.55,39.05
0.600,-1.39,20.67,-34.91,40.59
0.621,-2.09,18.58,-35.59,40.20
0.641,-1.39,19.28,-36.27,41.09
0.660,0.70,20.67,-34.23,39.99
0.684,-0.69,17.88,-34.23,38.62
0.701,-2.09,19.98,-34.91,40.27
0.721,-2.09,19.98,-34.23,39.68
0.742,0.00,20.67,-34.23,39.99
0.762,0.00,19.28,-35.59,40.47
0.784,-2.09,18.58,-36.27,40.80
0.802,-1.39,18.58,-34.91,39.57
0.822,-1.39,19.98,-34.23,39.65
0.842,-1.39,19.28,-35.59,40.49
0.864,-0.69,21.37,-34.91,40.93
0.883,-0.69,19.98,-33.55,39.05
0.903,0.00,20.67,-35.59,41.15
0.924,-1.39,19.28,-35.59,40.49
0.942,0.70,18.58,-34.23,38.95
0.964,-1.39,18.58,-36.27,40.77
0.985,-2.09,19.28,-35.59,40.52
1.004,-0.69,19.98,-35.59,40.81
1.025,-0.69,19.98,-34.91,40.22
1.044,-0.69,19.28,-34.91,39.88
1.064,-0.69,19.98,-34.23,39.64
1.093,-2.79,19.98,-34.91,40.31
1.106,-1.39,18.58,-35.59,40.17
1.125,-2.09,21.37,-35.59,41.56
1.145,-0.69,20.67,-33.55,39.41
1.164,0.70,20.67,-36.27,41.75
1.185,-0.69,19.28,-33.55,38.70
1.205,-0.69,20.67,-34.23,39.99
1.227,-1.39,19.98,-33.55,39.07
1.245,0.70,19.98,-34.91,40.22
1.266,-0.69,20.67,-34.23,39.99
1.286,-0.69,20.67,-34.23,39.99
1.305,0.00,19.98,-34.23,39.63
1.331,-1.39,19.28,-34.23,39.31
1.346,-0.69,19.98,-34.23,39.64
1.366,0.00,19.98,-33.55,39.04
1.389,0.00,19.98,-34.91,40.22
1.406,-2.09,19.98,-35.59,40.86
1.426,-2.09,20.67,-34.23,40.04
1.448,-0.69,19.98,-34.91,40.22
1.468,-1.39,19.28,-35.59,40.49
1.488,-1.39,19.28,-34.91,39.90
1.507,-2.09,19.28,-33.55,38.75
1.528,-2.09,20.67,-34.23,40.04
1.549,-0.69,19.98,-34.91,40.22
1.569,-0.69,19.28,-34.23,39.29
1.589,-2.09,19.98,-34.23,39.68
1.610,0.00,19.28,-33.55,38.69
1.628,-0.69,19.28,-33.55,38.70
1.647,1.40,19.28,-34.91,39.90
1.671,-0.69,19.98,-34.91,40.22
1.689,-0.69,20.67,-34.91,40.57
1.708,-2.09,20.67,-34.91,40.62
1.729,0.00,19.28,-35.59,40.47
1.749,-2.09,19.28,-35.59,40.52
1.769,0.70,20.67,-35.59,41.16
1.789,-1.39,19.98,-33.55,39.07
1.817,-1.39,19.28,-34.91,39.90
1.830,0.00,19.98,-32.19,37.88
1.849,0.00,18.58,-34.23,38.94
1.869,-1.39,20.67,-34.91,40.59
1.889,-1.39,19.28,-35.59,40.49
1.909,0.00,19.98,-34.91,40.22
1.929,-1.39,19.98,-33.55,39.07
1.956,-1.39,20.67,-34.91,40.59
1.970,-0.69,18.58,-33.55,38.35
1.992,-2.09,19.98,-34.91,40.27
2.013,0.00,20.67,-34.91,40.57
2.030,-1.39,19.98,-34.23,39.65
2.050,-0.69,19.98,-34.23,39.64
2.070,-1.39,19.98,-34.91,40.24
2.090,-1.39,20.67,-35.59,41.18
2.111,0.00,19.28,-33.55,38.69
2.134,-0.69,19.98,-34.91,40.22
2.154,-1.39,19.98,-34.91,40.24
2.172,-0.69,19.98,-35.59,40.81
2.192,0.00,20.67,-34.91,40.57
2.211,-0.69,18.58,-34.23,38.95
2.232,-1.39,19.28,-34.23,39.31
2.252,-2.09,21.37,-34.23,40.41
2.272,-0.69,18.58,-34.91,39.55
2.295,-0.69,21.37,-34.23,40.36
2.312,-1.39,19.98,-34.91,40.24
2.332,-2.09,19.28,-34.91,39.93
2.354,-0.69,18.58,-34.91,39.55
2.372,-1.39,20.67,-35.59,41.18
2.394,-1.39,19.28,-35.59,40.49
2.414,-1.39,19.98,-34.91,40.24
