time,x,y,z,MF
0.006,-9.16,-14.85,-73.14,75.20
0.009,-9.16,-17.64,-72.46,75.14
0.029,-10.56,-16.24,-73.14,75.67
0.049,-8.46,-16.94,-73.14,75.56
0.069,-9.16,-15.54,-72.46,74.68
0.098,-9.16,-16.24,-71.78,74.17
0.111,-9.16,-17.64,-73.14,75.80
0.129,-9.86,-16.94,-73.14,75.73
0.150,-7.77,-17.64,-71.10,73.67
0.169,-9.16,-16.94,-71.78,74.32
0.189,-8.46,-16.24,-73.14,75.40
0.221,-8.46,-17.64,-73.14,75.72
0.231,-7.77,-16.94,-71.78,74.16
0.250,-8.46,-17.64,-71.78,74.40
0.270,-8.46,-16.94,-73.14,75.56
0.290,-7.77,-18.34,-73.14,75.81
0.317,-9.86,-16.24,-71.10,73.60
0.334,-9.86,-16.24,-71.78,74.26
0.352,-8.46,-16.94,-72.46,74.90
0.380,-9.16,-16.24,-72.46,74.82
0.392,-8.46,-17.64,-73.82,76.37
0.412,-9.16,-16.24,-72.46,74.82
0.432,-9.16,-16.94,-71.78,74.32
0.452,-7.07,-16.24,-72.46,74.60
0.473,-8.46,-16.24,-72.46,74.74
0.492,-7.77,-15.54,-71.78,73.86
0.521,-7.77,-16.94,-71.78,74.16
0.533,-9.16,-16.24,-72.46,74.82
0.553,-9.16,-16.24,-71.78,74.17
0.574,-9.86,-16.94,-73.14,75.73
0.593,-9.16,-16.24,-71.78,74.17
0.622,-8.46,-16.24,-71.10,73.43
0.633,-7.77,-16.24,-73.14,75.33
0.653,-8.46,-16.94,-71.78,74.24
0.675,-7.07,-16.24,-71.78,73.94
0.697,-9.16,-15.54,-73.82,76.00
0.715,-8.46,-16.24,-73.82,76.06
0.734,-8.46,-16.24,-71.78,74.08
0.757,-9.16,-16.24,-73.14,75.48
0.775,-7.07,-15.54,-72.46,74.45
0.796,-9.16,-16.94,-71.78,74.32
0.815,-9.16,-16.94,-72.46,74.98
0.835,-9.16,-14.85,-72.46,74.53
0.855,-8.46,-16.24,-72.46,74.74
0.875,-10.56,-16.24,-73.82,76.32
0.896,-7.77,-16.24,-73.14,75.33
0.917,-9.16,-15.54,-72.46,74.68
0.936,-9.16,-16.94,-72.46,74.98
0.957,-9.16,-16.94,-72.46,74.98
0.976,-9.86,-16.94,-74.50,77.04
0.996,-7.77,-16.24,-71.78,74.01
1.016,-8.46,-16.94,-73.14,75.56
1.043,-9.16,-15.54,-73.14,75.34
1.057,-8.46,-15.54,-71.78,73.93
1.076,-8.46,-16.94,-73.14,75.56
1.096,-7.77,-15.54,-73.14,75.18
1.116,-9.16,-18.34,-71.78,74.65
1.137,-8.46,-16.94,-71.78,74.24
1.158,-9.86,-16.24,-73.14,75.57
1.190,-9.16,-17.64,-73.14,75.80
1.197,-8.46,-16.24,-72.46,74.74
1.217,-8.46,-16.24,-72.46,74.74
1.238,-9.16,-17.64,-71.78,74.49
1.260,-9.16,-15.54,-71.78,74.02
1.278,-9.16,-16.24,-71.78,74.17
1.298,-8.46,-16.94,-73.14,75.56
1.326,-9.16,-17.64,-73.14,75.80
1.338,-7.07,-16.24,-73.82,75.92
1.365,-9.16,-16.24,-72.46,74.82
1.383,-8.46,-16.24,-73.14,75.40
1.401,-8.46,-16.24,-75.18,77.38
1.419,-7.07,-16.94,-73.14,75.41
1.443,-9.16,-14.85,-73.82,75.86
1.460,-8.46,-16.24,-73.14,75.40
1.479,-7.77,-16.24,-72.46,74.67
1.501,-8.46,-17.64,-72.46,75.06
1.521,-9.16,-16.24,-72.46,74.82
1.540,-9.16,-16.94,-74.50,76.95
1.560,-8.46,-15.54,-72.46,74.59
1.581,-8.46,-16.24,-73.14,75.40
1.601,-9.16,-15.54,-71.78,74.02
1.622,-9.16,-17.64,-73.14,75.80
1.642,-8.46,-14.85,-72.46,74.45
1.663,-8.46,-16.24,-75.18,77.38
1.681,-9.16,-15.54,-72.46,74.68
1.701,-8.46,-15.54,-71.78,73.93
1.725,-8.46,-15.54,-73.82,75.92
1.743,-9.16,-16.24,-73.82,76.14
1.762,-9.16,-14.85,-72.46,74.53
1.782,-8.46,-16.94,-72.46,74.90
1.802,-9.86,-17.64,-73.14,75.88
1.822,-9.16,-14.85,-72.46,74.53
1.853,-9.16,-16.24,-72.46,74.82
1.869,-9.16,-16.24,-74.50,76.80
1.882,-8.46,-16.24,-73.82,76.06
1.903,-7.77,-16.94,-73.14,75.48
1.922,-9.16,-16.94,-73.14,75.64
1.944,-7.77,-16.94,-72.46,74.82
1.964,-9.16,-16.94,-73.82,76.29
1.984,-9.16,-16.24,-73.82,76.14
2.003,-9.16,-16.24,-73.14,75.48
2.037,-9.16,-16.94,-73.82,76.29
2.048,-7.77,-16.94,-72.46,74.82
2.067,-9.86,-16.24,-72.46,74.91
2.085,-8.46,-16.94,-72.46,74.90
2.107,-10.56,-14.85,-73.82,76.04
2.125,-8.46,-16.94,-72.46,74.90
2.149,-9.16,-16.24,-73.14,75.48
2.166,-10.56,-16.94,-73.14,75.82
2.185,-9.16,-16.94,-73.14,75.64
2.205,-8.46,-15.54,-73.14,75.26
2.227,-9.16,-16.24,-69.74,72.19
2.246,-8.46,-18.34,-73.14,75.88
2.265,-9.86,-16.24,-71.10,73.60
2.287,-9.16,-16.24,-73.14,75.48
2.307,-10.56,-16.24,-71.78,74.35
2.330,-8.46,-16.94,-73.14,75.56
2.352,-8.46,-16.24,-73.82,76.06
2.367,-9.16,-16.94,-71.78,74.32
2.386,-8.46,-15.54,-73.14,75.26
2.406,-9.16,-14.85,-73.82,75.86
2.428,-7.07,-16.24,-73.14,75.26
2.447,-7.77,-15.54,-71.78,73.86
2.467,-9.16,-15.54,-72.46,74.68
2.487,-7.77,-16.24,-71.78,74.01
2.507,-8.46,-17.64,-73.82,76.37
2.528,-8.46,-17.64,-74.50,77.03
2.548,-9.16,-16.24,-73.82,76.14
2.569,-9.86,-16.94,-73.14,75.73
2.594,-7.77,-14.85,-71.78,73.71
2.607,-8.46,-16.94,-73.14,75.56
2.627,-9.16,-16.24,-73.14,75.48
2.650,-7.77,-16.94,-72.46,74.82
2.668,-9.86,-16.94,-72.46,75.07
2.688,-8.46,-16.24,-73.82,76.06
2.714,-7.07,-16.94,-73.14,75.41
2.730,-7.07,-16.24,-73.82,75.92
2.748,-9.16,-16.24,-73.14,75.48
2.769,-9.16,-17.64,-73.14,75.80
2.791,-8.46,-16.24,-73.14,75.40
2.812,-9.86,-16.94,-73.14,75.73
2.829,-9.86,-16.24,-73.14,75.57
2.851,-8.46,-17.64,-73.82,76.37
2.872,-7.77,-15.54,-73.14,75.18
2.892,-9.86,-16.24,-72.46,74.91
2.911,-7.07,-16.24,-75.18,77.24
2.930,-8.46,-16.94,-73.82,76.21
2.950,-9.86,-16.94,-73.14,75.73
2.970,-7.77,-16.24,-73.14,75.33
2.995,-9.16,-15.54,-72.46,74.68
3.013,-9.16,-16.24,-73.82,76.14
3.031,-9.16,-16.24,-73.14,75.48
3.052,-7.77,-16.94,-73.14,75.48
3.070,-8.46,-16.94,-73.14,75.56
3.091,-7.77,-16.94,-73.14,75.48
3.113,-8.46,-14.85,-71.78,73.79
3.133,-9.16,-15.54,-72.46,74.68
3.153,-10.56,-16.24,-74.50,76.98
3.174,-8.46,-14.85,-73.14,75.11
3.191,-9.16,-16.24,-72.46,74.82
3.211,-7.77,-14.15,-72.46,74.24
3.234,-8.46,-14.85,-74.50,76.44
3.252,-10.56,-16.24,-73.14,75.67
3.276,-9.16,-16.24,-72.46,74.82
3.294,-9.86,-16.94,-72.46,75.07
3.314,-9.86,-17.64,-71.10,73.92
3.332,-8.46,-16.24,-73.82,76.06
3.352,-9.16,-14.85,-73.82,75.86
3.384,-9.16,-14.85,-73.82,75.86
3.393,-9.16,-15.54,-72.46,74.68
3.414,-7.07,-16.24,-73.14,75.26
3.434,-8.46,-16.24,-75.18,77.38
3.453,-8.46,-14.85,-73.82,75.78
3.474,-9.16,-16.24,-73.82,76.14
3.504,-9.16,-16.94,-71.78,74.32
3.513,-10.56,-16.24,-71.78,74.35
3.533,-8.46,-18.34,-73.14,75.88
3.555,-9.16,-16.94,-73.82,76.29
3.575,-7.07,-17.64,-71.10,73.60
3.597,-9.16,-15.54,-72.46,74.68
3.625,-9.86,-15.54,-72.46,74.77
3.635,-9.16,-16.24,-73.14,75.48
3.655,-7.77,-15.54,-73.14,75.18
3.674,-9.86,-16.24,-73.82,76.23
3.698,-9.16,-16.94,-72.46,74.98
3.718,-8.46,-16.94,-73.14,75.56
3.735,-9.16,-15.54,-72.46,74.68
3.759,-9.86,-15.54,-72.46,74.77
3.777,-7.77,-16.94,-73.82,76.14
3.795,-8.46,-16.94,-74.50,76.87
3.817,-9.16,-15.54,-72.46,74.68
3.836,-9.16,-16.24,-73.14,75.48
3.856,-7.77,-14.85,-72.46,74.38
3.876,-8.46,-16.24,-71.78,74.08
3.900,-9.16,-15.54,-73.14,75.34
3.918,-8.46,-16.24,-72.46,74.74
3.937,-10.56,-16.94,-72.46,75.16
3.957,-7.77,-17.64,-73.14,75.64
3.978,-8.46,-16.94,-71.10,73.58
3.997,-8.46,-17.64,-73.14,75.72
4.017,-7.77,-16.94,-71.78,74.16
4.040,-9.16,-15.54,-71.78,74.02
4.058,-9.16,-15.54,-73.14,75.34
4.079,-9.16,-16.24,-71.78,74.17
4.098,-9.86,-16.94,-73.14,75.73
4.118,-9.16,-16.24,-72.46,74.82
4.138,-7.77,-17.64,-73.82,76.30
4.158,-9.16,-16.24,-73.14,75.48
4.188,-9.86,-16.24,-73.14,75.57
4.207,-9.16,-16.94,-72.46,74.98
4.220,-8.46,-16.94,-73.14,75.56
4.243,-8.46,-16.24,-72.46,74.74
4.261,-8.46,-18.34,-71.78,74.57
4.282,-9.16,-15.54,-71.10,73.36
4.300,-7.07,-16.24,-73.14,75.26
4.324,-9.16,-15.54,-73.82,76.00
4.347,-9.86,-16.24,-73.82,76.23
4.359,-8.46,-16.94,-73.82,76.21
4.383,-8.46,-16.94,-72.46,74.90
4.406,-7.07,-15.54,-72.46,74.45
4.421,-7.77,-14.85,-73.82,75.70
4.444,-8.46,-14.85,-73.14,75.11
4.461,-9.16,-15.54,-71.78,74.02
4.480,-8.46,-17.64,-72.46,75.06
4.505,-9.16,-15.54,-73.14,75.34
4.523,-7.07,-16.94,-73.14,75.41
4.542,-7.77,-17.64,-71.78,74.33
4.562,-9.16,-18.34,-72.46,75.31
4.583,-9.86,-16.94,-73.14,75.73
4.603,-8.46,-16.94,-73.14,75.56
4.625,-9.16,-15.54,-73.82,76.00
4.644,-9.16,-16.24,-72.46,74.82
4.664,-9.86,-16.94,-73.14,75.73
4.683,-10.56,-16.24,-72.46,75.01
4.702,-9.16,-16.24,-73.14,75.48
4.725,-8.46,-16.24,-73.14,75.40
4.743,-7.77,-16.94,-74.50,76.80
4.765,-8.46,-16.94,-71.78,74.24
4.784,-7.77,-15.54,-72.46,74.52
4.803,-7.07,-14.85,-72.46,74.31
4.823,-9.16,-16.24,-72.46,74.82
4.847,-8.46,-16.24,-72.46,74.74
4.865,-8.46,-16.94,-73.82,76.21
4.884,-9.16,-14.85,-74.50,76.52
4.905,-9.86,-16.24,-73.14,75.57
4.924,-9.16,-16.24,-72.46,74.82
4.944,-10.56,-15.54,-72.46,74.86
4.965,-9.16,-16.24,-72.46,74.82
4.988,-9.86,-16.24,-73.14,75.57
5.016,-7.77,-16.94,-73.14,75.48
5.026,-7.77,-15.54,-72.46,74.52
5.045,-9.16,-16.24,-72.46,74.82
5.065,-7.77,-16.94,-73.14,75.48
5.097,-7.77,-16.94,-73.14,75.48
5.116,-8.46,-16.24,-73.14,75.40
5.126,-7.07,-16.24,-73.14,75.26
5.149,-9.16,-15.54,-72.46,74.68
5.166,-8.46,-16.24,-71.10,73.43
5.186,-7.07,-16.24,-72.46,74.60
5.207,-9.86,-15.54,-73.14,75.42
5.238,-9.16,-16.24,-71.78,74.17
5.248,-8.46,-16.94,-72.46,74.90
5.268,-9.16,-15.54,-75.18,77.32
5.287,-8.46,-16.94,-72.46,74.90
5.308,-8.46,-17.64,-73.82,76.37
5.327,-8.46,-16.94,-73.82,76.21
5.353,-9.16,-16.24,-73.14,75.48
5.369,-8.46,-16.24,-72.46,74.74
5.387,-9.16,-17.64,-73.14,75.80
5.407,-8.46,-17.64,-72.46,75.06
5.428,-9.16,-16.94,-71.78,74.32
5.448,-7.77,-17.64,-71.78,74.33
5.468,-8.46,-15.54,-73.14,75.26
5.494,-9.16,-16.24,-71.78,74.17
5.508,-7.77,-16.94,-73.14,75.48
5.533,-9.16,-15.54,-72.46,74.68
5.549,-9.86,-16.24,-72.46,74.91
