time,x,y,z,MF
0.009,13.42,-11.67,-58.85,61.47
0.033,13.63,-12.10,-58.78,61.54
0.049,13.57,-11.71,-58.85,61.52
0.069,13.86,-11.89,-58.90,61.67
0.088,13.76,-11.81,-58.95,61.67
0.108,13.82,-11.90,-58.81,61.57
0.127,13.90,-12.04,-58.43,61.26
0.151,13.84,-11.80,-58.49,61.25
0.175,13.29,-11.91,-58.73,61.38
0.192,13.83,-11.80,-58.58,61.34
0.208,13.57,-11.82,-58.89,61.58
0.223,13.54,-11.99,-58.65,61.37
0.247,13.64,-11.76,-58.57,61.28
0.260,13.43,-11.87,-58.79,61.46
0.285,13.80,-11.80,-59.09,61.82
0.298,13.60,-11.73,-58.48,61.18
0.316,14.05,-11.73,-58.88,61.66
0.335,13.98,-11.56,-59.12,61.84
0.365,13.86,-11.70,-58.87,61.60
0.385,13.77,-11.75,-58.77,61.49
0.398,13.53,-11.75,-58.75,61.43
0.416,13.83,-11.99,-58.62,61.41
0.447,13.80,-11.81,-58.40,61.15
0.451,13.81,-11.62,-58.87,61.58
0.472,13.76,-11.81,-58.90,61.63
0.499,13.71,-11.77,-58.95,61.66
0.509,13.58,-11.75,-58.76,61.44
0.530,13.69,-11.68,-58.58,61.28
0.549,14.04,-11.88,-58.45,61.28
0.569,13.98,-11.75,-58.60,61.38
0.610,13.98,-11.98,-58.67,61.49
0.613,14.05,-11.81,-58.87,61.67
0.626,13.55,-11.84,-58.56,61.26
0.644,13.86,-11.78,-58.82,61.57
0.664,13.75,-11.81,-58.39,61.14
0.684,13.78,-11.87,-58.71,61.47
0.702,13.68,-11.83,-58.67,61.39
0.721,13.98,-11.90,-59.28,62.06
0.741,13.91,-11.90,-58.81,61.60
0.765,13.68,-11.83,-58.71,61.43
0.778,13.59,-11.84,-58.57,61.28
0.801,13.65,-11.88,-58.47,61.21
0.832,13.98,-11.95,-58.58,61.40
0.838,13.59,-12.03,-58.69,61.43
0.879,13.97,-12.05,-58.76,61.59
0.881,13.89,-11.99,-58.53,61.34
0.895,13.63,-11.91,-58.70,61.43
0.913,13.50,-11.89,-58.47,61.17
0.932,13.67,-11.94,-58.24,61.00
0.952,13.90,-11.89,-58.40,61.19
0.974,13.95,-11.97,-58.30,61.13
