t,x,y,z,mf
0.1960000000,27.5987243652,13.4394502640,6.6113710403,31.40
0.2060000000,29.3856925964,12.9884614944,6.5317158699,32.79
0.2150000000,27.9958286285,13.4394502640,6.4520606995,31.72
0.2250000000,27.9958286285,13.9806365967,6.6113710403,31.98
0.2350000000,27.4001731873,13.1688575745,6.6910257339,31.13
0.2450000000,28.9885883331,13.7100429535,6.0537853241,32.63
0.2550000000,28.3929328918,13.0786600113,6.1334404945,31.86
0.2650000000,27.5987243652,13.8002405167,6.2927503586,31.49
0.2750000000,27.4001731873,13.7100429535,6.6910257339,31.36
0.2850000000,29.5842437744,14.1610317230,6.7706809044,33.49
0.2940000000,29.1871395111,13.2590551376,5.6555099487,32.55
0.3040000000,29.5842437744,13.9806365967,6.4520606995,33.35
0.3140000000,28.3929328918,13.6198453903,7.2486109734,32.31
0.3240000000,29.5842437744,14.1610317230,6.2927503586,33.40
0.3340000000,28.5914840698,13.5296478271,6.8503355980,32.36
0.3430000000,29.5842437744,12.8982639313,6.2927503586,32.88
0.3530000000,28.3929328918,14.1610317230,6.1334404945,32.32
0.3630000000,29.3856925964,13.7100429535,6.2130956650,33.02
0.3730000000,27.7972755432,13.5296478271,6.0537853241,31.50
0.3830000000,28.1943798065,13.8904380798,6.6910257339,32.13
0.3930000000,29.9813480377,13.4394502640,6.9299907684,33.58
0.4030000000,29.1871395111,13.6198453903,7.2486109734,33.01
0.4120000000,28.1943798065,13.3492527008,6.8503355980,31.94
0.4230000000,28.1943798065,14.0708341599,6.5317158699,32.18
0.4320000000,28.9885883331,13.7100429535,7.1689558029,32.86
0.4420000000,28.3929328918,13.9806365967,6.6113710403,32.33
0.4520000000,28.5914840698,12.9884614944,6.2130956650,32.01
0.4620000000,30.3784523010,13.8002405167,6.6113710403,34.01
0.4710000000,29.3856925964,14.2512292862,6.6910257339,33.34
0.4820000000,28.5914840698,13.3492527008,5.8944749832,32.10
0.4910000000,28.9885883331,13.3492527008,5.8944749832,32.45
0.5010000000,27.9958286285,13.6198453903,6.7706809044,31.86
0.5110000000,26.6059646606,13.8904380798,7.1689558029,30.86
0.5210000000,29.9813480377,14.3414268494,6.6113710403,33.89
0.5310000000,28.5914840698,14.0708341599,6.6910257339,32.56
0.5400000000,28.3929328918,13.8002405167,6.4520606995,32.22
0.5500000000,29.3856925964,13.5296478271,7.0096459389,33.10
0.5600000000,29.1871395111,13.2590551376,6.6113710403,32.73
0.5700000000,28.5914840698,13.5296478271,6.5317158699,32.30
0.5800000000,28.3929328918,13.6198453903,6.6113710403,32.18
0.5900000000,28.1943798065,13.3492527008,5.7351651192,31.72
0.6000000000,28.9885883331,12.8080663681,6.8503355980,32.42
0.6100000000,26.0103092194,13.2590551376,7.0893011093,30.04
0.6190000000,28.1943798065,13.8904380798,6.5317158699,32.10
0.6290000000,28.3929328918,14.5218219757,6.4520606995,32.54
0.6390000000,30.1799011230,13.3492527008,6.8503355980,33.70
0.6490000000,27.7972755432,13.3492527008,6.0537853241,31.43
0.6590000000,29.9813480377,13.2590551376,6.7706809044,33.47
0.6680000000,28.3929328918,13.0786600113,6.2927503586,31.89
0.6780000000,27.7972755432,13.7100429535,7.0096459389,31.78
0.6880000000,28.7900371552,13.8002405167,5.6555099487,32.42
0.6980000000,26.0103092194,13.2590551376,6.6113710403,29.93
0.7080000000,28.1943798065,13.3492527008,6.0537853241,31.78
0.7180000000,28.5914840698,14.0708341599,6.5317158699,32.53
0.7280000000,29.1871395111,13.6198453903,6.4520606995,32.85
0.7380000000,28.5914840698,13.5296478271,6.6910257339,32.33
0.7470000000,27.7972755432,13.1688575745,6.6910257339,31.48
0.7570000000,28.5914840698,13.3492527008,6.6910257339,32.26
0.7670000000,27.7972755432,13.1688575745,6.5317158699,31.44
0.7770000000,27.7972755432,14.0708341599,6.3724055290,31.80
0.7870000000,27.7972755432,13.7100429535,6.8503355980,31.74
0.7960000000,29.1871395111,13.8002405167,6.9299907684,33.02
0.8070000000,27.9958286285,13.6198453903,6.2927503586,31.76
0.8160000000,27.0030689240,13.7100429535,6.5317158699,30.98
0.8260000000,27.0030689240,13.8904380798,7.0096459389,31.16
0.8360000000,28.3929328918,13.2590551376,7.0893011093,32.13
0.8460000000,28.1943798065,13.7100429535,6.5317158699,32.02
0.8560000000,30.9741077423,13.1688575745,5.7351651192,34.14
0.8650000000,28.5914840698,13.8904380798,6.6910257339,32.48
0.8760000000,30.1799011230,13.7100429535,6.5317158699,33.79
0.8850000000,29.7827968597,13.5296478271,6.5317158699,33.36
0.8950000000,27.7972755432,13.8904380798,6.2130956650,31.69
0.9050000000,27.7972755432,14.0708341599,6.3724055290,31.80
0.9150000000,29.1871395111,13.2590551376,6.4520606995,32.70
0.9250000000,29.3856925964,13.1688575745,6.0537853241,32.77
0.9340000000,28.3929328918,13.9806365967,6.7706809044,32.36
0.9440000000,28.7900371552,13.8002405167,6.7706809044,32.64
0.9540000000,29.1871395111,13.8002405167,6.2927503586,32.89
0.9640000000,27.9958286285,13.8002405167,6.4520606995,31.87
0.9740000000,27.2016201019,13.4394502640,6.2927503586,30.99
0.9840000000,28.3929328918,13.8002405167,6.6113710403,32.25
0.9930000000,28.1943798065,13.8904380798,6.8503355980,32.17
1.0040000000,28.9885883331,13.5296478271,6.5317158699,32.65
1.0130000000,27.7972755432,12.9884614944,6.6910257339,31.40
1.0230000000,28.1943798065,13.8904380798,6.8503355980,32.17
1.0330000000,28.7900371552,13.6198453903,6.4520606995,32.50
1.0430000000,29.3856925964,13.8904380798,6.6910257339,33.18
1.0530000000,28.9885883331,14.2512292862,6.8503355980,33.02
1.0620000000,29.1871395111,13.4394502640,6.2927503586,32.74
1.0720000000,28.5914840698,13.7100429535,7.1689558029,32.51
1.0820000000,28.3929328918,14.3414268494,6.4520606995,32.46
1.0920000000,28.5914840698,13.5296478271,6.2130956650,32.24
1.1020000000,28.3929328918,13.6198453903,6.7706809044,32.21
1.1120000000,28.1943798065,13.5296478271,6.2130956650,31.88
1.1220000000,28.3929328918,13.8002405167,6.7706809044,32.29
