t,x,y,z,mf
0.1960000000,30.9741077423,13.8904380798,7.3282661438,34.73
0.2060000000,31.7683162689,14.0708341599,6.6910257339,35.38
0.2150000000,29.3856925964,14.4316244125,7.1689558029,33.51
0.2250000000,30.5770034790,14.2512292862,7.3282661438,34.52
0.2350000000,29.9813480377,14.1610317230,7.0893011093,33.91
0.2450000000,29.5842437744,13.6198453903,7.2486109734,33.37
0.2550000000,28.5914840698,13.8904380798,6.8503355980,32.52
0.2650000000,30.3784523010,15.0630083084,7.5672311783,34.74
0.2740000000,30.1799011230,14.0708341599,7.4875764847,34.13
0.2840000000,30.9741077423,14.7924146652,6.5317158699,34.94
0.2940000000,30.1799011230,13.7100429535,7.1689558029,33.91
0.3040000000,31.3712120056,13.8904380798,6.6910257339,34.96
0.3140000000,30.9741077423,14.6120195389,6.6910257339,34.90
0.3240000000,30.7755565643,14.3414268494,6.7706809044,34.62
0.3340000000,29.7827968597,14.2512292862,7.4875764847,33.86
0.3430000000,30.9741077423,14.9728107452,7.1689558029,35.14
0.3530000000,29.3856925964,14.0708341599,7.4875764847,33.43
0.3630000000,29.3856925964,14.2512292862,7.3282661438,33.47
0.3730000000,30.1799011230,14.7924146652,7.1689558029,34.37
0.3830000000,30.3784523010,14.5218219757,6.7706809044,34.34
0.3930000000,30.7755565643,13.6198453903,6.9299907684,34.36
0.4020000000,30.5770034790,14.0708341599,7.1689558029,34.41
0.4120000000,30.3784523010,15.0630083084,6.2927503586,34.49
0.4220000000,30.3784523010,14.7022171021,6.9299907684,34.45
0.4320000000,30.9741077423,14.6120195389,6.6910257339,34.90
0.4420000000,29.9813480377,14.3414268494,6.6113710403,33.89
0.4520000000,29.9813480377,14.1610317230,6.7706809044,33.84
0.4620000000,30.3784523010,14.8826131821,6.1334404945,34.38
0.4710000000,30.1799011230,14.4316244125,6.6910257339,34.12
0.4810000000,29.9813480377,14.3414268494,7.0893011093,33.98
0.4910000000,29.7827968597,14.0708341599,7.1689558029,33.71
0.5010000000,29.1871395111,14.5218219757,7.5672311783,33.47
0.5110000000,29.5842437744,14.1610317230,6.9299907684,33.52
0.5210000000,30.3784523010,14.3414268494,6.9299907684,34.30
0.5300000000,30.1799011230,14.4316244125,7.0096459389,34.18
0.5400000000,30.5770034790,14.2512292862,7.1689558029,34.49
0.5500000000,31.7683162689,14.7924146652,7.3282661438,35.80
0.5600000000,29.5842437744,14.8826131821,6.2927503586,33.71
0.5700000000,30.7755565643,13.8002405167,6.7706809044,34.40
0.5800000000,29.9813480377,13.9806365967,7.5672311783,33.94
0.5890000000,30.1799011230,13.7100429535,6.8503355980,33.85
0.5990000000,29.1871395111,13.9806365967,6.6113710403,33.03
0.6090000000,30.1799011230,14.6120195389,7.3282661438,34.32
0.6190000000,30.5770034790,14.6120195389,7.0096459389,34.61
0.6290000000,30.5770034790,14.2512292862,7.3282661438,34.52
0.6390000000,30.3784523010,14.1610317230,7.5672311783,34.36
0.6490000000,29.7827968597,13.5296478271,7.1689558029,33.49
0.6580000000,29.7827968597,14.4316244125,6.8503355980,33.80
0.6680000000,30.1799011230,14.4316244125,6.6910257339,34.12
0.6780000000,30.5770034790,14.6120195389,6.6910257339,34.54
0.6880000000,30.7755565643,14.3414268494,6.6113710403,34.59
0.6980000000,29.9813480377,15.0630083084,7.0893011093,34.29
0.7080000000,30.7755565643,14.3414268494,6.9299907684,34.65
0.7180000000,29.1871395111,15.0630083084,6.6113710403,33.50
0.7270000000,29.9813480377,15.0630083084,7.0893011093,34.29
0.7370000000,31.1726608276,14.1610317230,7.4079213142,35.03
0.7470000000,28.9885883331,14.4316244125,7.1689558029,33.17
0.7570000000,30.5770034790,14.7924146652,7.3282661438,34.75
0.7670000000,30.3784523010,14.5218219757,7.4079213142,34.48
0.7770000000,30.5770034790,14.0708341599,6.3724055290,34.26
0.7860000000,32.3639717102,14.1610317230,7.0893011093,36.03
0.7960000000,32.1654205322,14.0708341599,7.0096459389,35.80
0.8060000000,30.1799011230,14.4316244125,7.0096459389,34.18
0.8160000000,31.5697650909,14.3414268494,7.4079213142,35.46
0.8260000000,30.1799011230,14.2512292862,7.4875764847,34.21
0.8350000000,31.1726608276,14.1610317230,7.4079213142,35.03
0.8460000000,31.1726608276,14.5218219757,6.7706809044,35.05
0.8550000000,30.1799011230,14.4316244125,7.6468863487,34.32
0.8650000000,30.1799011230,14.7924146652,7.0096459389,34.33
0.8750000000,31.5697650909,14.3414268494,6.9299907684,35.36
0.8850000000,28.9885883331,14.9728107452,7.6468863487,33.51
0.8950000000,30.1799011230,13.8904380798,6.5317158699,33.86
0.9040000000,30.3784523010,14.7022171021,7.4079213142,34.55
0.9140000000,31.3712120056,14.2512292862,7.1689558029,35.19
0.9240000000,29.3856925964,14.2512292862,6.3724055290,33.27
0.9340000000,30.5770034790,14.6120195389,7.4875764847,34.71
0.9440000000,30.7755565643,13.8002405167,7.2486109734,34.50
0.9540000000,30.7755565643,14.8826131821,6.6113710403,34.82
0.9630000000,30.3784523010,14.7022171021,7.2486109734,34.52
0.9740000000,29.7827968597,15.1532058716,6.3724055290,34.02
0.9830000000,30.5770034790,13.5296478271,7.3282661438,34.23
0.9930000000,30.3784523010,14.7022171021,7.2486109734,34.52
1.0030000000,29.9813480377,14.7022171021,6.6113710403,34.04
1.0130000000,30.9741077423,14.7924146652,6.3724055290,34.91
1.0230000000,30.7755565643,14.7022171021,6.7706809044,34.77
1.0320000000,31.9668674469,14.5218219757,7.2486109734,35.85
1.0420000000,29.9813480377,14.3414268494,6.7706809044,33.92
1.0520000000,30.1799011230,14.0708341599,7.0096459389,34.03
1.0620000000,31.3712120056,14.0708341599,7.3282661438,35.15
1.0720000000,30.9741077423,13.7100429535,7.1689558029,34.62
1.0820000000,31.3712120056,14.9728107452,6.8503355980,35.43
1.0920000000,30.1799011230,14.2512292862,6.6910257339,34.04
1.1010000000,29.7827968597,14.0708341599,7.1689558029,33.71
1.1110000000,30.5770034790,14.6120195389,6.6910257339,34.54
1.1210000000,30.3784523010,14.1610317230,7.4079213142,34.33
1.1310000000,29.9813480377,14.8826131821,7.4079213142,34.28
1.1410000000,32.1654205322,13.7100429535,7.1689558029,35.69
1.1510000000,29.5842437744,14.8826131821,7.0893011093,33.87
1.1600000000,29.9813480377,14.3414268494,6.6113710403,33.89
1.1700000000,29.7827968597,14.6120195389,7.1689558029,33.94
1.1800000000,31.3712120056,14.0708341599,7.0096459389,35.09
1.1900000000,29.7827968597,15.3336009979,6.5317158699,34.13
1.2000000000,29.3856925964,14.0708341599,6.8503355980,33.29
1.2090000000,30.9741077423,14.2512292862,6.6910257339,34.75
1.2200000000,29.7827968597,14.0708341599,7.1689558029,33.71
1.2290000000,30.5770034790,15.1532058716,7.3282661438,34.90
1.2390000000,29.5842437744,14.7022171021,7.2486109734,33.82
1.2490000000,30.9741077423,14.6120195389,7.0096459389,34.96
1.2590000000,30.3784523010,14.1610317230,7.2486109734,34.29
1.2690000000,29.1871395111,14.5218219757,7.4079213142,33.43
1.2780000000,31.5697650909,14.1610317230,6.7706809044,35.26
1.2890000000,30.3784523010,13.9806365967,7.0893011093,34.18
1.2980000000,31.1726608276,14.3414268494,6.9299907684,35.01
1.3080000000,29.9813480377,14.1610317230,6.9299907684,33.87
1.3180000000,31.7683162689,14.0708341599,7.0096459389,35.45
1.3280000000,31.7683162689,14.2512292862,6.8503355980,35.49
1.3380000000,29.7827968597,14.0708341599,7.1689558029,33.71
1.3470000000,29.7827968597,14.6120195389,6.5317158699,33.81
1.3570000000,30.1799011230,14.2512292862,6.8503355980,34.07
1.3670000000,31.1726608276,14.7022171021,6.4520606995,35.06
1.3770000000,30.7755565643,14.8826131821,6.6113710403,34.82
1.3870000000,29.5842437744,14.3414268494,7.5672311783,33.74
1.3960000000,30.3784523010,13.9806365967,7.4079213142,34.25
1.4070000000,31.3712120056,14.2512292862,7.1689558029,35.19
1.4160000000,29.9813480377,14.5218219757,6.7706809044,33.99
1.4260000000,28.9885883331,14.2512292862,7.3282661438,33.12
1.4360000000,29.9813480377,14.7022171021,7.0893011093,34.14
1.4460000000,29.3856925964,14.4316244125,7.1689558029,33.51
1.4560000000,29.5842437744,14.8826131821,7.0893011093,33.87
1.4650000000,29.5842437744,13.9806365967,6.7706809044,33.41
1.4750000000,29.7827968597,13.7100429535,7.0096459389,33.53
1.4850000000,29.3856925964,14.4316244125,6.8503355980,33.45
1.4950000000,29.3856925964,14.6120195389,7.1689558029,33.59
1.5050000000,30.9741077423,14.4316244125,6.8503355980,34.85
1.5150000000,31.7683162689,14.2512292862,7.3282661438,35.58
1.5240000000,29.7827968597,15.1532058716,7.1689558029,34.18
1.5350000000,28.9885883331,14.4316244125,7.4875764847,33.24
1.5440000000,29.5842437744,14.8826131821,6.7706809044,33.80
1.5540000000,29.5842437744,13.9806365967,6.2927503586,33.32
1.5640000000,30.7755565643,14.5218219757,6.9299907684,34.73
1.5740000000,30.3784523010,14.7022171021,6.9299907684,34.45
1.5840000000,29.3856925964,14.6120195389,7.0096459389,33.56
1.5930000000,30.7755565643,13.9806365967,6.7706809044,34.47
1.6040000000,30.3784523010,14.7022171021,6.7706809044,34.42
1.6130000000,31.3712120056,14.6120195389,7.8061966896,35.48
1.6230000000,28.9885883331,14.2512292862,7.3282661438,33.12
1.6330000000,30.1799011230,14.4316244125,7.3282661438,34.25
1.6430000000,30.3784523010,14.7022171021,6.4520606995,34.36
1.6530000000,29.9813480377,13.9806365967,6.9299907684,33.80
1.6620000000,30.9741077423,14.0708341599,7.4875764847,34.83
1.6720000000,30.9741077423,13.8904380798,6.6910257339,34.60
1.6820000000,29.7827968597,14.6120195389,7.1689558029,33.94
1.6920000000,31.3712120056,15.1532058716,6.6910257339,35.48
1.7020000000,30.3784523010,14.8826131821,6.6113710403,34.47
1.7120000000,30.9741077423,14.7924146652,6.8503355980,35.00
1.7210000000,31.9668674469,13.8002405167,6.9299907684,35.50
1.7310000000,30.3784523010,14.5218219757,7.2486109734,34.44
1.7410000000,30.3784523010,13.4394502640,6.2927503586,33.81
1.7510000000,29.7827968597,14.0708341599,6.5317158699,33.58
1.7610000000,29.1871395111,14.7022171021,7.7265415192,33.58
1.7710000000,28.7900371552,14.1610317230,7.0893011093,32.86
1.7800000000,29.3856925964,14.7924146652,6.5317158699,33.54
1.7900000000,29.5842437744,15.0630083084,7.2486109734,33.98
1.8000000000,30.1799011230,14.2512292862,6.3724055290,33.98
1.8100000000,29.5842437744,14.1610317230,6.6113710403,33.46
