x,y,z
57.58,22.4,Ch82.76
57.58,22.4,Ch82.76
66.49,24.18,Ch77.59
48.68,27.74,Ch81.04
50.46,15.28,Ch79.31
59.36,13.5,Ch81.04
59.36,13.5,Ch81.04
66.49,6.37,Ch77.59
48.68,24.18,Ch67.26
66.49,20.62,Ch74.15
46.9,18.84,Ch79.31
52.24,13.5,Ch81.04
52.24,13.5,Ch81.04
57.58,11.72,Ch75.87
50.46,25.96,Ch79.31
64.7,15.28,Ch75.87
64.7,33.08,Ch72.43
48.68,17.06,Ch74.15
48.68,17.06,Ch74.15
57.58,22.4,Ch75.87
50.46,25.96,Ch75.87
55.8,9.94,Ch74.15
61.14,33.08,Ch82.76
61.14,33.08,Ch82.76
62.92,9.94,Ch67.26
29.09,29.52,Ch34.54
180.44,52.67,Ch-125.60
55.8,13.5,Ch32.82
82.51,1.03,Ch10.44
82.51,1.03,Ch10.44
143.05,-27.46,Ch-96.33
233.85,24.18,Ch-197.92
200.02,90.06,Ch-175.54
109.22,77.6,Ch-104.94
59.36,38.42,Ch-46.39
59.36,38.42,Ch-46.39
36.22,33.08,Ch-20.56
38,34.86,Ch5.27
18.41,25.96,Ch3.55
29.09,29.52,Ch17.32
29.09,29.52,Ch17.32
20.19,17.06,Ch29.38
29.09,1.03,Ch41.43
30.87,-0.75,Ch39.71
36.22,4.59,Ch44.87
41.56,17.06,Ch60.37
41.56,17.06,Ch60.37
55.8,6.37,Ch56.93
41.56,6.37,Ch74.15
57.58,15.28,Ch62.09
70.05,13.5,Ch77.59
70.05,13.5,Ch77.59
64.7,8.15,Ch75.87
48.68,6.37,Ch70.70
73.61,17.06,Ch70.70
54.02,22.4,Ch72.43
64.7,22.4,Ch62.09
64.7,22.4,Ch62.09
54.02,15.28,Ch72.43
59.36,9.94,Ch87.92
55.8,13.5,Ch81.04
54.02,18.84,Ch75.87
46.9,33.08,Ch62.09
46.9,33.08,Ch62.09
45.12,17.06,Ch67.26
38,2.81,Ch46.60
21.97,29.52,Ch17.32
38,34.86,Ch-29.17
38,34.86,Ch-29.17
148.39,106.08,Ch-177.26
313.98,61.57,Ch-251.30
159.07,-39.92,Ch-135.93
75.39,-9.65,Ch3.55
55.8,-7.87,Ch29.38
55.8,-7.87,Ch29.38
68.27,-9.65,Ch0.10
91.41,-25.68,Ch-39.50
121.68,-34.58,Ch-61.89
162.63,-47.04,Ch-108.38
228.51,-31.02,Ch-158.32
228.51,-31.02,Ch-158.32
328.22,86.5,Ch-216.86
77.17,52.67,Ch-94.60
27.31,20.62,Ch-1.62
11.29,15.28,Ch13.88
11.29,15.28,Ch13.88
30.87,6.37,Ch36.26
43.34,22.4,Ch65.54
61.14,8.15,Ch65.54
52.24,17.06,Ch74.15
54.02,15.28,Ch62.09
54.02,15.28,Ch62.09
55.8,17.06,Ch87.92
48.68,20.62,Ch81.04
57.58,8.15,Ch82.76
62.92,6.37,Ch60.37
14.85,-2.53,Ch37.99
14.85,-2.53,Ch37.99
18.41,18.84,Ch13.88
30.87,34.86,Ch8.71
121.68,97.18,Ch-147.98
289.05,-16.77,Ch-261.63
289.05,-16.77,Ch-261.63
114.56,-31.02,Ch-55.00
71.83,8.15,Ch13.88
75.39,-2.53,Ch-3.34
111,-31.02,Ch-34.34
374.52,4.59,Ch-327.07
374.52,4.59,Ch-327.07
71.83,65.13,Ch-96.33
2.39,45.55,Ch8.71
32.66,1.03,Ch62.09
57.58,22.4,Ch79.31
45.12,27.74,Ch81.04
45.12,27.74,Ch81.04
38,27.74,Ch67.26
46.9,22.4,Ch82.76
41.56,13.5,Ch70.70
55.8,27.74,Ch70.70
55.8,27.74,Ch70.70
52.24,20.62,Ch56.93
-115.13,-50.6,Ch46.60
-104.45,45.55,Ch84.48
-63.49,72.25,Ch27.65
-90.2,63.35,Ch-80.83
-90.2,63.35,Ch-80.83
111,171.96,Ch-144.54
214.27,150.6,Ch-168.65
207.15,107.86,Ch-199.64
201.8,74.03,Ch-194.48
201.8,56.23,Ch-184.15
201.8,56.23,Ch-184.15
198.24,74.03,Ch-180.70
217.83,43.77,Ch-182.42
132.36,-13.21,Ch-92.88
-6.52,-6.09,Ch-6.78
-18.98,24.18,Ch67.26
-18.98,24.18,Ch67.26
-59.93,25.96,Ch93.09
-49.25,18.84,Ch96.53
-47.47,31.3,Ch81.04
-75.96,34.86,Ch91.37
-75.96,34.86,Ch91.37
-49.25,29.52,Ch103.42
-49.25,29.52,Ch99.98
-61.71,41.98,Ch101.70
-42.13,15.28,Ch89.65
-54.59,31.3,Ch112.03
-54.59,31.3,Ch112.03
-56.37,25.96,Ch96.53
-54.59,17.06,Ch98.26
-42.13,18.84,Ch96.53
-61.71,27.74,Ch87.92
-61.71,20.62,Ch105.14
-61.71,20.62,Ch105.14
-70.62,25.96,Ch96.53
-58.15,38.42,Ch84.48
-56.37,22.4,Ch110.31
-51.03,27.74,Ch84.48
-51.03,27.74,Ch84.48
-51.03,38.42,Ch84.48
-35,25.96,Ch106.86
-22.54,17.06,Ch81.04
-20.76,36.64,Ch79.31
