time,x,y,z
0,96,-56,-824
1,101,-59,-823
4,99,-61,-825
13,106,-60,-826
23,103,-53,-827
33,96,-58,-822
43,94,-52,-826
53,97,-57,-817
63,101,-57,-829
73,99,-63,-825
82,99,-61,-821
92,101,-59,-817
102,102,-62,-822
112,102,-62,-822
122,99,-59,-821
132,104,-66,-824
142,105,-59,-827
151,100,-60,-820
161,104,-58,-824
171,101,-63,-823
181,100,-58,-832
191,100,-52,-822
201,95,-53,-819
211,101,-65,-819
220,109,-61,-819
230,103,-63,-819
240,94,-62,-820
250,103,-59,-823
260,94,-60,-822
270,101,-57,-823
280,97,-63,-827
290,101,-59,-821
299,97,-59,-823
309,104,-50,-824
319,98,-58,-822
329,99,-67,-823
339,96,-60,-820
349,95,-61,-827
359,100,-56,-824
368,104,-62,-820
378,100,-60,-824
388,99,-61,-821
398,98,-62,-826
408,103,-61,-825
418,100,-64,-818
428,101,-61,-825
437,102,-58,-822
447,98,-64,-824
457,102,-60,-824
467,94,-56,-822
477,97,-63,-823
487,106,-58,-822
497,102,-58,-824
506,99,-59,-821
516,98,-58,-822
526,95,-55,-825
536,103,-55,-825
546,107,-59,-821
556,102,-66,-822
565,104,-58,-820
575,98,-64,-820
585,95,-67,-811
595,100,-64,-824
605,102,-58,-822
615,99,-57,-825
625,101,-69,-819
635,100,-68,-822
644,91,-61,-827
654,96,-58,-824
664,102,-64,-820
674,104,-62,-828
684,98,-64,-824
694,100,-58,-828
704,106,-58,-826
713,103,-61,-823
723,102,-56,-820
733,98,-56,-828
743,101,-61,-831
753,107,-57,-827
763,95,-59,-823
773,99,-63,-827
782,92,-54,-824
792,102,-60,-820
802,101,-59,-831
812,104,-62,-826
822,99,-61,-825
832,101,-59,-823
842,93,-61,-819
851,102,-62,-826
861,100,-64,-824
871,98,-68,-826
881,97,-57,-825
891,102,-60,-824
901,100,-56,-822
911,102,-64,-822
920,103,-59,-827
930,101,-73,-823
940,100,-60,-824
950,98,-56,-818
960,103,-67,-825
970,102,-58,-822
980,97,-53,-827
989,98,-62,-832
999,108,-64,-822
1009,107,-61,-821
1019,94,-56,-832
1029,104,-60,-822
1039,93,-57,-825
1049,97,-57,-815
1059,106,-68,-824
