t,x,y,z,mf
1784378,-4.4434,25.3418,-26.2695,36.77
1784388,-4.4922,25.0000,-25.8789,36.26
1784399,-4.5410,25.3418,-26.1230,36.68
1784410,-4.3457,24.9512,-26.1230,36.38
1784421,-4.3945,25.3418,-26.4160,36.87
1784432,-4.4922,25.5371,-26.8066,37.30
1784443,-4.3945,25.5371,-26.1719,36.83
1784454,-4.3945,25.5371,-26.1719,36.83
1784464,-4.2969,25.7324,-26.6113,37.27
1784475,-4.4434,25.4395,-26.3184,36.87
1784486,-4.6875,24.8535,-26.7578,36.82
1784497,-4.1016,26.0254,-26.7578,37.55
1784508,-4.5410,25.4883,-26.8066,37.27
1784519,-4.3457,25.6836,-26.0254,36.82
1784530,-4.8340,25.8301,-26.5137,37.33
1784541,-4.8340,25.8301,-26.5137,37.33
1784551,-4.6387,25.7813,-26.2207,37.06
1784562,-4.8828,25.4395,-26.0254,36.72
1784573,-4.5410,25.5371,-26.4648,37.06
1784584,-4.5410,25.0977,-26.2695,36.61
1784595,-4.2480,25.5371,-25.6348,36.43
1784606,-4.3945,25.9277,-26.1719,37.10
1784617,-4.3457,25.8789,-25.7813,36.79
1784628,-4.3457,25.8789,-25.7813,36.79
1784638,-4.2969,25.4395,-26.1230,36.72
1784649,-4.6387,25.9277,-26.5137,37.37
1784660,-4.3945,25.5859,-26.3184,36.97
1784671,-3.9551,25.8789,-26.3672,37.16
1784682,-4.1016,25.6836,-26.8066,37.35
1784693,-4.6387,25.7813,-26.4648,37.24
1784704,-4.3457,25.1953,-26.9531,37.15
1784715,-4.3457,25.1953,-26.9531,37.15
1784725,-4.3457,25.1465,-26.4160,36.73
1784736,-4.9805,25.6836,-26.6602,37.35
1784747,-4.4922,25.3418,-26.5625,36.99
1784758,-4.9316,25.3418,-26.0742,36.69
1784769,-4.4434,25.2930,-25.7324,36.35
1784780,-4.5410,25.5859,-26.3672,37.02
1784791,-4.7363,25.4883,-26.1719,36.84
1784802,-4.7363,25.4883,-26.1719,36.84
1784812,-4.6387,25.5859,-26.2207,36.93
1784823,-4.4434,25.2930,-25.7324,36.35
1784834,-4.4434,25.1953,-26.2207,36.63
1784845,-4.3945,25.5859,-25.3418,36.28
1784856,-4.0527,25.3418,-26.2207,36.69
1784867,-3.6133,25.2930,-26.3672,36.72
1784878,-4.3457,25.2930,-26.1719,36.65
1784889,-4.3457,25.2930,-26.1719,36.65
1784899,-4.1016,24.6582,-26.1719,36.19
1784910,-4.0527,25.3906,-26.2695,36.76
1784921,-3.9062,25.2441,-26.4160,36.75
1784932,-4.2480,25.2930,-26.3184,36.75
1784943,-3.9551,25.6348,-26.0254,36.74
1784954,-4.2969,25.3418,-26.2695,36.75
1784965,-4.4434,25.3418,-26.5625,36.98
1784976,-4.4434,25.3418,-26.5625,36.98
1784986,-4.7852,25.0000,-26.1719,36.51
1784997,-4.2480,25.6348,-26.0742,36.81
1785008,-4.3945,25.5859,-26.7090,37.25
1785019,-4.5410,25.4395,-26.4160,36.95
1785030,-4.6875,25.4395,-26.4648,37.01
1785041,-4.7363,25.2441,-26.2695,36.74
1785052,-4.5898,24.6094,-25.8301,35.97
1785063,-4.5898,24.6094,-25.8301,35.97
1785073,-4.7363,25.1953,-26.5137,36.88
1785084,-4.8340,25.0000,-26.8555,37.01
1785095,-4.6387,25.4883,-26.2695,36.90
1785106,-4.6387,25.2441,-26.4160,36.83
1785117,-4.2969,25.5859,-27.0996,37.52
1785128,-4.7363,25.4395,-26.2695,36.87
1785139,-4.5898,25.4395,-26.5137,37.03
1785150,-4.5898,25.4395,-26.5137,37.03
1785160,-4.6875,25.3418,-26.2207,36.77
1785171,-4.3945,24.8047,-25.9766,36.19
1785182,-4.5410,25.4395,-26.4648,36.99
1785193,-4.3457,25.3906,-26.8555,37.21
1785204,-4.2969,25.4395,-26.0742,36.68
