t,x,y,z,mf
22879,-10.2539,27.7344,-21.5820,36.61
22890,-10.1562,27.5391,-21.3379,36.29
22901,-10.1562,26.9043,-22.2168,36.34
22912,-9.9609,27.3438,-22.0215,36.49
22923,-9.9609,27.0996,-22.4609,36.58
22934,-10.3027,27.0996,-22.4609,36.67
22944,-9.9121,27.1484,-22.5098,36.63
22955,-10.1074,27.2949,-22.7051,36.91
22966,-10.0098,27.6855,-21.5332,36.47
22977,-10.4492,27.4414,-22.2656,36.85
22988,-10.4004,27.9297,-21.9238,37.00
22999,-9.6680,27.2949,-21.8750,36.29
23010,-9.6680,27.2949,-21.6309,36.14
23021,-9.9121,27.3438,-21.6309,36.25
23031,-10.1074,26.8066,-22.0215,36.13
23042,-9.9609,27.0508,-21.7773,36.13
23053,-9.8145,27.1973,-21.6797,36.14
23064,-10.1074,27.2949,-21.2891,36.06
23075,-9.6680,27.1484,-22.1680,36.36
23086,-9.7168,26.9531,-21.6797,35.93
23097,-9.7168,26.9531,-21.1914,35.64
23108,-10.4004,27.1973,-21.1914,36.01
23118,-10.4492,27.2461,-21.8750,36.47
23129,-10.2051,27.0020,-21.5332,36.01
23140,-10.0098,27.1973,-22.0215,36.40
23151,-10.0098,27.2949,-21.4844,36.15
23162,-10.2051,27.4902,-21.3379,36.27
23173,-10.0586,27.5391,-21.9727,36.64
23184,-10.0586,27.5391,-21.9727,36.64
23194,-10.2051,27.2461,-21.1426,35.97
23205,-10.5957,27.0508,-21.9727,36.43
23216,-10.3516,27.3926,-22.0215,36.64
23227,-10.4004,27.5879,-22.1680,36.89
23238,-10.1562,27.3438,-22.0215,36.55
23249,-10.4980,27.6367,-22.0215,36.86
23260,-9.6191,27.5879,-22.1680,36.67
23271,-9.6191,27.5879,-22.1680,36.67
23281,-9.9609,27.8320,-21.6797,36.66
23292,-10.1562,27.6855,-21.7285,36.63
23303,-10.0586,27.6855,-21.8262,36.66
23314,-10.8398,27.6367,-21.5820,36.70
23325,-10.2539,27.3438,-21.3379,36.17
23336,-10.2051,27.4902,-21.7773,36.53
23347,-10.1562,27.0996,-21.3867,35.99
23358,-10.1562,27.0996,-21.3867,35.99
23368,-10.1562,27.5391,-21.8750,36.61
23379,-10.0586,27.6855,-21.2402,36.32
23390,-10.5957,27.7832,-21.2402,36.54
23401,-10.4004,27.0508,-21.4355,36.05
23412,-10.0098,27.1484,-21.1426,35.84
23423,-10.5469,27.6855,-22.2168,37.03
23434,-10.2051,27.5879,-22.4121,36.98
23445,-10.2051,27.5879,-22.4121,36.98
23455,-9.7168,27.2949,-21.5332,36.10
23466,-9.8633,27.5391,-21.8750,36.53
23477,-9.9121,27.3438,-22.2656,36.63
23488,-9.8633,27.3438,-22.0703,36.50
23499,-10.1074,27.1484,-22.3145,36.57
23510,-10.3027,27.0508,-21.6309,36.14
23521,-10.3027,26.9531,-21.5820,36.03
23532,-10.3027,26.9531,-21.5820,36.03
23542,-9.8633,27.4414,-21.4355,36.19
23553,-10.0586,27.8320,-21.5820,36.63
23564,-10.1074,27.6855,-22.0703,36.82
23575,-10.0098,27.5879,-22.3145,36.87
23586,-10.0586,27.5879,-21.5820,36.44
23597,-9.8633,27.1484,-21.9727,36.29
23608,-9.4727,27.0508,-21.7773,36.00
23619,-9.4727,27.0508,-21.7773,36.00
23629,-10.2539,27.4414,-21.3379,36.24
23640,-10.1562,27.4414,-21.6309,36.39
23651,-10.1562,26.8555,-21.0938,35.63
23662,-10.3027,27.3926,-21.8262,36.51
23673,-9.9121,27.7832,-22.1680,36.90
23684,-10.2051,27.7344,-21.9727,36.83
23695,-10.2051,27.3926,-21.5332,36.31
23706,-10.2051,27.3926,-21.5332,36.31
23716,-9.7656,27.6367,-22.2168,36.78
23727,-9.7656,27.4414,-21.1914,36.02
23738,-9.9121,27.4902,-21.8262,36.47
23749,-10.0586,27.5391,-21.7285,36.49
23760,-10.1074,27.5391,-21.4844,36.36
23771,-9.9609,27.1484,-21.8262,36.23
23782,-9.8145,27.6855,-21.5332,36.42
23793,-9.8145,27.6855,-21.5332,36.42
23803,-10.0098,27.7344,-21.9727,36.77
23814,-9.8633,27.5879,-21.4355,36.30
23825,-10.1562,27.0020,-21.7773,36.15
23836,-9.6680,27.1973,-21.7285,36.13
23847,-9.9121,27.8809,-22.0215,36.89
23858,-10.0586,27.4414,-21.7285,36.42
23869,-9.4727,27.3926,-22.1680,36.49
23880,-9.4727,27.3926,-22.1680,36.49
23890,-9.7168,27.6367,-21.7285,36.47
23901,-9.7168,27.0020,-21.6309,35.94
23912,-9.8633,26.9043,-22.0703,36.17
23923,-10.1074,27.4414,-22.1680,36.70
23934,-9.4727,27.7344,-22.9004,37.19
23945,-9.4238,27.8809,-22.3633,36.96
23956,-9.7656,27.5879,-22.3145,36.80
23967,-9.7656,27.5879,-22.3145,36.80
23977,-9.6680,27.3926,-22.2656,36.60
23988,-9.6191,27.7344,-20.8984,36.03
23999,-9.4238,27.3438,-22.4121,36.59
24010,-9.7168,27.0508,-22.0215,36.21
24021,-10.1562,27.3438,-21.4844,36.23
24032,-9.6191,27.3926,-21.1914,35.94
24043,-9.6191,27.5879,-21.1426,36.06
24054,-10.0586,27.5879,-21.1426,36.18
24064,-9.9609,27.2461,-21.7285,36.24
24075,-10.0586,27.4414,-21.8262,36.48
24086,-9.9121,27.7344,-22.0215,36.77
24097,-10.2539,27.6367,-21.8750,36.71
24108,-9.8145,27.9297,-21.9727,36.87
24119,-10.1562,27.4902,-21.9238,36.60
24130,-10.1562,27.4902,-21.8750,36.57
24141,-9.9121,27.4902,-21.8750,36.50
24151,-9.8145,27.5391,-21.9727,36.57
24162,-9.3750,27.5879,-22.2656,36.67
24173,-9.6191,27.4902,-22.0703,36.54
24184,-10.1074,27.4414,-22.0215,36.61
24195,-9.5215,27.2461,-22.4121,36.54
24206,-9.6680,27.3438,-22.1680,36.50
24217,-9.6680,27.1973,-22.5586,36.63
24228,-9.6680,27.1973,-22.5586,36.63
24238,-9.6680,27.7344,-21.7773,36.56
24249,-9.8145,27.0508,-22.1191,36.29
24260,-9.7168,27.7344,-22.0703,36.75
24271,-9.6191,27.6367,-22.6074,36.98
24282,-9.4727,27.0996,-22.1680,36.27
24293,-10.1562,27.1973,-22.2656,36.59
24304,-10.1562,27.1973,-22.1680,36.53
24315,-9.7168,27.3926,-22.1680,36.55
24325,-9.7656,27.5879,-22.6563,37.01
24336,-9.8145,27.6855,-22.0215,36.71
24347,-10.0586,27.4414,-22.4121,36.83
24358,-9.9609,27.7344,-22.3633,36.99
24369,-9.9609,27.0996,-22.1191,36.37
24380,-9.5703,27.3926,-22.0703,36.46
