t,x,y,z,mf
65020,-0.8301,24.2676,-24.8535,34.75
65031,-0.1465,24.1699,-25.3418,35.02
65042,-0.1465,24.1699,-25.3418,35.02
65052,-0.8301,24.1211,-25.3418,35.00
65063,-1.0742,23.8770,-24.7559,34.41
65074,-1.0254,24.5605,-25.5371,35.45
65085,-0.9766,24.3652,-24.9023,34.85
65096,-0.9277,24.4141,-24.8535,34.85
65107,-0.6836,23.9746,-24.6582,34.40
65118,-1.0254,24.0234,-24.7559,34.51
65129,-1.0254,24.0234,-24.7559,34.51
65139,0.0488,23.6328,-25.0488,34.44
65150,-0.2930,24.0234,-24.9512,34.64
65161,-0.7324,23.7793,-25.0000,34.51
65172,-1.4160,24.0723,-25.1465,34.84
65183,-0.7812,24.1699,-25.2930,34.99
65194,-0.9766,24.0234,-25.6836,35.18
65205,-0.8789,24.2676,-25.0488,34.89
65216,-0.8789,24.2676,-25.0488,34.89
65226,-1.0742,23.9258,-25.1953,34.76
65237,-1.0254,24.1211,-25.3418,35.00
65248,-1.2207,24.2676,-26.0254,35.61
65259,-1.1719,23.6816,-25.6836,34.95
65270,-1.3672,23.3398,-25.0977,34.30
65281,-0.7812,23.8770,-25.3906,34.86
65292,-1.2695,23.5840,-25.5371,34.78
65303,-1.2695,23.5840,-25.5371,34.78
65313,-1.1230,23.4863,-24.9512,34.28
65324,-0.5371,23.6328,-24.7559,34.23
65335,-0.5371,23.8281,-25.4883,34.90
65346,-1.0254,24.0723,-25.3418,34.97
65357,-1.3184,23.8281,-24.6582,34.32
65368,-0.7324,23.9258,-25.1953,34.75
65379,-1.2695,24.4141,-24.9023,34.90
65390,-1.2695,24.4141,-24.9023,34.90
65400,-1.5137,23.7305,-24.6094,34.22
65411,-0.8789,23.7305,-24.6582,34.23
65422,-1.1230,23.9258,-25.3906,34.91
65433,-0.6348,23.9746,-25.0977,34.71
65444,-1.3184,23.8281,-25.1465,34.67
65455,-0.9766,23.9746,-25.6348,35.11
65466,-0.9277,24.2188,-25.2930,35.03
65477,-0.9277,24.2188,-25.2930,35.03
65487,-1.2695,24.2188,-24.3164,34.34
65498,-0.8301,23.3398,-25.3906,34.50
65509,-0.7812,23.5352,-26.0742,35.13
65520,-1.3184,24.1699,-25.0000,34.80
65531,-1.1719,23.8281,-25.4395,34.88
65542,-0.5371,23.3398,-25.2441,34.38
65553,-0.5371,23.8281,-25.3906,34.82
65564,-0.5371,23.8281,-25.3906,34.82
65574,-0.9766,24.0723,-25.1465,34.82
65585,-0.8301,24.3652,-25.5859,35.34
65596,-0.9277,24.2676,-24.8047,34.71
65607,-1.2207,24.1699,-25.4883,35.15
65618,-1.4648,24.2676,-25.5371,35.26
65629,-1.3672,24.1699,-25.4883,35.15
65640,-1.3672,24.3164,-25.2930,35.11
65651,-1.1719,24.3164,-25.2930,35.11
65661,-1.8555,23.9258,-24.9023,34.58
65672,-1.5625,23.6816,-25.3418,34.72
65683,-0.9277,24.0234,-24.8535,34.58
65694,-1.0254,24.1699,-26.0742,35.57
65705,-0.9766,23.7305,-25.1465,34.59
65716,-1.1230,23.5352,-25.2441,34.53
65727,-1.1230,23.6328,-25.5371,34.81
65738,-0.8789,23.6328,-25.5371,34.81
65748,-0.4883,23.6328,-25.1953,34.55
65759,-0.8789,24.0723,-25.6348,35.18
65770,-1.1230,23.6328,-25.4395,34.74
65781,-1.3184,23.5352,-25.2441,34.54
65792,-0.6348,23.9258,-25.2930,34.82
65803,-1.0742,23.8770,-25.5371,34.98
65814,-1.0742,24.2676,-25.4395,35.17
65825,-1.0254,24.2676,-25.4395,35.17
65835,-1.1230,24.3652,-25.0977,35.00
65846,-0.8301,24.0723,-25.6348,35.18
