t,x,y,z,mf
32.4090000000,68.2409667969,21.2843036652,-5.5758547783,71.70
32.4190000000,68.6286926270,21.6544647217,-4.9386143684,72.13
32.4290000000,68.8225631714,21.3768424988,-5.4961996078,72.28
32.4380000000,66.8838958740,21.1917629242,-5.3368897438,70.36
32.4490000000,68.6286926270,21.6544647217,-5.0979242325,72.14
32.4580000000,69.0164260864,21.2843036652,-4.7793040276,72.38
32.4680000000,68.0470962524,21.5619239807,-5.3368897438,71.58
32.4780000000,69.0164260864,20.9141407013,-4.9386143684,72.28
32.4880000000,68.6286926270,20.9141407013,-5.7351651192,71.97
32.4980000000,67.6593627930,20.8215999603,-5.3368897438,70.99
32.5080000000,69.2102966309,21.3768424988,-5.8148202896,72.67
32.5170000000,69.2102966309,21.3768424988,-5.1775794029,72.62
32.5270000000,66.8838958740,20.6365203857,-5.0182695389,70.17
32.5370000000,66.8838958740,21.0066814423,-5.4961996078,70.32
32.5470000000,67.4654998779,20.7290592194,-5.5758547783,70.80
32.5570000000,68.4348297119,21.5619239807,-5.0182695389,71.93
32.5660000000,69.5980300903,21.1917629242,-5.6555099487,72.97
32.5770000000,68.6286926270,21.2843036652,-5.8944749832,72.09
32.5860000000,67.6593627930,20.8215999603,-5.0182695389,70.97
32.5960000000,68.2409667969,20.7290592194,-5.5758547783,71.54
32.6060000000,68.0470962524,21.1917629242,-5.4961996078,71.48
32.6160000000,68.8225631714,21.0066814423,-5.1775794029,72.14
32.6260000000,68.0470962524,20.6365203857,-5.3368897438,71.31
32.6360000000,68.4348297119,21.3768424988,-5.3368897438,71.89
32.6450000000,68.0470962524,21.5619239807,-5.3368897438,71.58
32.6560000000,69.2102966309,20.8215999603,-4.8589591980,72.44
32.6650000000,69.2102966309,19.8961963654,-5.1775794029,72.20
32.6750000000,67.6593627930,20.6365203857,-4.6996488571,70.89
32.6850000000,66.4961624146,20.6365203857,-5.3368897438,69.83
32.6950000000,68.0470962524,21.1917629242,-5.3368897438,71.47
32.7050000000,65.5268402100,21.2843036652,-4.9386143684,69.07
32.7150000000,69.7918930054,20.9141407013,-5.7351651192,73.08
32.7240000000,69.4041595459,20.7290592194,-4.4606838226,72.57
32.7340000000,68.2409667969,21.2843036652,-4.7793040276,71.64
32.7440000000,69.0164260864,21.2843036652,-5.0979242325,72.40
32.7540000000,66.6900329590,20.9141407013,-4.9386143684,70.07
32.7640000000,68.0470962524,21.1917629242,-5.8148202896,71.51
32.7740000000,68.2409667969,21.0992221832,-4.9386143684,71.60
32.7840000000,67.6593627930,21.1917629242,-5.6555099487,71.13
32.7930000000,68.8225631714,21.0066814423,-4.8589591980,72.12
32.8030000000,68.4348297119,20.8215999603,-5.4961996078,71.74
32.8130000000,68.2409667969,20.9141407013,-5.4165449142,71.58
32.8230000000,68.0470962524,20.8215999603,-5.3368897438,71.36
32.8330000000,68.0470962524,21.3768424988,-5.4961996078,71.54
32.8430000000,68.4348297119,21.7470054626,-5.3368897438,72.01
32.8520000000,68.4348297119,20.4514389038,-5.9741301537,71.67
32.8630000000,68.4348297119,21.0066814423,-5.3368897438,71.79
32.8720000000,68.2409667969,21.2843036652,-5.4165449142,71.69
32.8820000000,69.0164260864,20.7290592194,-5.7351651192,72.29
32.8920000000,69.0164260864,21.4693832397,-4.9386143684,72.45
32.9020000000,69.2102966309,21.0066814423,-5.4961996078,72.54
32.9120000000,68.8225631714,21.0066814423,-4.6996488571,72.11
32.9210000000,69.4041595459,20.5439796448,-5.7351651192,72.61
32.9310000000,67.0777664185,21.4693832397,-5.2572345734,70.63
32.9410000000,67.6593627930,21.1917629242,-4.6996488571,71.06
32.9510000000,68.6286926270,21.6544647217,-5.7351651192,72.19
32.9610000000,68.4348297119,21.3768424988,-5.1775794029,71.88
32.9710000000,68.4348297119,21.3768424988,-5.4961996078,71.91
32.9810000000,68.4348297119,21.7470054626,-5.1775794029,71.99
32.9910000000,68.4348297119,21.3768424988,-5.4961996078,71.91
33.0000000000,67.6593627930,21.5619239807,-5.1775794029,71.20
33.0100000000,67.4654998779,21.0992221832,-5.2572345734,70.88
33.0200000000,69.7918930054,20.7290592194,-5.4165449142,73.01
33.0300000000,68.4348297119,21.0066814423,-5.8148202896,71.82
33.0400000000,69.4041595459,21.0992221832,-4.7793040276,72.70
33.0500000000,68.4348297119,21.0066814423,-5.0182695389,71.76
33.0600000000,68.0470962524,21.5619239807,-4.6996488571,71.54
33.0690000000,67.2716293335,21.7470054626,-5.6555099487,70.93
33.0790000000,67.8532333374,20.9141407013,-5.5758547783,71.22
33.0890000000,68.4348297119,21.3768424988,-5.4961996078,71.91
33.0990000000,67.0777664185,21.4693832397,-4.7793040276,70.59
33.1090000000,67.6593627930,21.1917629242,-5.4961996078,71.11
33.1190000000,68.2409667969,20.7290592194,-5.2572345734,71.51
33.1290000000,68.4348297119,20.6365203857,-5.3368897438,71.68
33.1380000000,68.8225631714,20.2663574219,-5.8148202896,71.98
33.1480000000,67.0777664185,20.9141407013,-5.0979242325,70.45
33.1580000000,68.4348297119,21.7470054626,-5.3368897438,72.01
33.1680000000,67.2716293335,21.0066814423,-4.8589591980,70.64
33.1780000000,67.8532333374,21.4693832397,-4.9386143684,71.34
33.1880000000,68.2409667969,21.0992221832,-4.7793040276,71.59
33.1970000000,67.2716293335,21.1917629242,-5.6555099487,70.76
33.2080000000,67.0777664185,21.0992221832,-5.0979242325,70.50
33.2170000000,68.4348297119,20.4514389038,-5.3368897438,71.62
33.2270000000,66.6900329590,21.4693832397,-5.0979242325,70.25
33.2370000000,68.0470962524,20.4514389038,-5.6555099487,71.28
33.2470000000,67.2716293335,21.5619239807,-5.4961996078,70.86
33.2570000000,66.8838958740,21.1917629242,-5.3368897438,70.36
33.2670000000,68.0470962524,20.8215999603,-5.4961996078,71.37
33.2760000000,68.4348297119,21.1917629242,-5.4961996078,71.85
33.2860000000,68.4348297119,21.3768424988,-4.8589591980,71.86
33.2960000000,67.2716293335,21.1917629242,-5.0182695389,70.71
33.3060000000,67.6593627930,21.0066814423,-5.3368897438,71.05
33.3160000000,66.8838958740,20.8215999603,-5.3368897438,70.25
33.3260000000,66.4961624146,21.0066814423,-5.1775794029,69.93
33.3360000000,65.5268402100,21.6544647217,-5.0979242325,69.20
33.3450000000,67.8532333374,21.6544647217,-4.9386143684,71.40
33.3550000000,67.8532333374,20.9141407013,-5.5758547783,71.22
33.3650000000,68.0470962524,21.1917629242,-4.5403389931,71.42
33.3750000000,69.4041595459,20.1738166809,-5.5758547783,72.49
33.3850000000,68.4348297119,21.0066814423,-5.8148202896,71.82
33.3950000000,67.6593627930,20.8215999603,-4.6996488571,70.95
33.4050000000,69.2102966309,20.4514389038,-5.3368897438,72.37
33.4150000000,69.7918930054,21.4693832397,-5.2572345734,73.21
33.4240000000,67.8532333374,20.7290592194,-5.7351651192,71.18
33.4340000000,66.8838958740,21.3768424988,-5.1775794029,70.41
33.4440000000,68.2409667969,20.9141407013,-5.0979242325,71.56
33.4540000000,68.2409667969,21.2843036652,-5.5758547783,71.70
33.4640000000,67.8532333374,21.0992221832,-4.9386143684,71.23
33.4730000000,69.2102966309,21.5619239807,-5.3368897438,72.69
33.4840000000,67.8532333374,20.7290592194,-5.8944749832,71.19
33.4930000000,69.4041595459,20.7290592194,-4.9386143684,72.60
33.5030000000,68.2409667969,21.6544647217,-5.4165449142,71.80
33.5130000000,69.2102966309,20.6365203857,-5.6555099487,72.44
33.5230000000,67.8532333374,20.9141407013,-5.2572345734,71.20
33.5330000000,68.2409667969,20.9141407013,-5.2572345734,71.57
33.5430000000,67.6593627930,21.1917629242,-5.1775794029,71.09
33.5520000000,67.8532333374,21.0992221832,-5.0979242325,71.24
33.5620000000,68.0470962524,21.0066814423,-6.2927503586,71.49
33.5720000000,67.2716293335,21.0066814423,-4.8589591980,70.64
33.5820000000,68.8225631714,21.3768424988,-4.6996488571,72.22
33.5920000000,67.8532333374,21.6544647217,-5.8944749832,71.47
33.6020000000,68.0470962524,20.6365203857,-5.8148202896,71.34
33.6120000000,67.4654998779,20.5439796448,-5.5758547783,70.74
33.6210000000,67.8532333374,21.6544647217,-5.7351651192,71.46
33.6310000000,69.7918930054,20.9141407013,-5.0979242325,73.04
33.6410000000,67.0777664185,20.9141407013,-5.0979242325,70.45
33.6510000000,68.6286926270,21.0992221832,-5.0979242325,71.98
33.6610000000,68.2409667969,20.9141407013,-5.4165449142,71.58
33.6710000000,68.4348297119,20.6365203857,-5.1775794029,71.67
33.6810000000,69.2102966309,21.1917629242,-5.0182695389,72.56
33.6910000000,69.0164260864,21.8395462036,-4.9386143684,72.56
33.7000000000,69.0164260864,20.7290592194,-5.2572345734,72.25
33.7100000000,68.0470962524,21.3768424988,-5.4961996078,71.54
33.7200000000,67.4654998779,21.2843036652,-5.2572345734,70.94
33.7300000000,68.2409667969,21.0992221832,-5.8944749832,71.67
33.7400000000,68.2409667969,20.9141407013,-5.0979242325,71.56
33.7500000000,67.8532333374,20.7290592194,-5.5758547783,71.17
33.7600000000,69.4041595459,20.7290592194,-5.4165449142,72.64
33.7690000000,67.8532333374,20.3588981628,-4.7793040276,71.00
33.7790000000,69.2102966309,21.1917629242,-5.0182695389,72.56
33.7890000000,68.4348297119,21.0066814423,-5.8148202896,71.82
33.7990000000,69.5980300903,20.8215999603,-4.6996488571,72.80
33.8090000000,68.4348297119,20.8215999603,-5.0182695389,71.71
33.8180000000,67.6593627930,21.0066814423,-5.4961996078,71.06
33.8290000000,68.8225631714,21.1917629242,-5.4961996078,72.22
33.8380000000,68.4348297119,21.1917629242,-5.1775794029,71.83
33.8480000000,69.0164260864,21.0992221832,-5.2572345734,72.36
33.8580000000,68.6286926270,20.9141407013,-4.7793040276,71.90
33.8680000000,67.0777664185,20.9141407013,-4.9386143684,70.44
33.8780000000,68.4348297119,20.8215999603,-5.3368897438,71.73
